vehicle_ID,date,vehicle_mass_kg,mass_end,mass_0,mass_of_garbage_kg,capacity_used_proc,V_body_m3,V_garbage_m3,dencity_kg_m3,V_garbage_m3+1.6m3_V_garbage_in_tailgate,dencity_kg_m3,V_garbage_m3+3m3_V_garbage_in_tailgate,dencity_kg_m3
21482,9/30/2024,15766,7388,1030,6358,"82,00%","22,1","18,1","350,8","19,7","322,4","21,1","301,0"
21482,9/27/2024,15766,6696,1027,5669,"60,60%","22,1","13,4","423,3","15,0","378,1","16,4","345,8"
21482,9/26/2024,15766,7559,1147,6412,"67,00%","22,1","14,8","433,0","16,4","390,8","17,8","360,1"
21482,9/25/2024,15766,7427,1146,6281,"69,70%","22,1","15,4","407,8","17,0","369,4","18,4","341,3"
21482,9/24/2024,15766,6155,952,5203,"60,50%","22,1","13,4","389,1","15,0","347,6","16,4","317,8"
21482,9/23/2024,15766,7024,995,6029,"70,00%","22,1","15,5","389,7","17,1","353,2","18,5","326,4"
21482,9/20/2024,15766,7052,809,6243,"63,10%","22,1","13,9","447,7","15,5","401,6","16,9","368,4"
21482,9/19/2024,15766,7422,676,6746,"61,20%","22,1","13,5","498,8","15,1","446,0","16,5","408,2"
21482,9/18/2024,15766,8677,929,7748,"91,10%","22,1","20,1","384,8","21,7","356,5","23,1","334,9"
21482,9/17/2024,15766,6561,1051,5510,"55,90%","22,1","12,4","446,0","14,0","394,9","15,4","358,9"
21482,9/16/2024,15766,8014,1056,6958,"80,60%","22,1","17,8","390,6","19,4","358,4","20,8","334,3"
21482,9/13/2024,15766,7144,900,6244,"80,00%","22,1","17,7","353,2","19,3","323,9","20,7","301,9"
21482,9/12/2024,15766,8344,1045,7299,"82,10%","22,1","18,1","402,3","19,7","369,7","21,1","345,2"
21482,9/11/2024,15766,8160,996,7164,"81,70%","22,1","18,1","396,8","19,7","364,5","21,1","340,2"
21482,9/10/2024,15766,6666,998,5668,"56,70%","22,1","12,5","452,3","14,1","401,1","15,5","365,0"
21482,9/9/2024,15766,7884,1028,6856,"74,10%","22,1","16,4","418,7","18,0","381,4","19,4","353,8"
21482,9/6/2024,15766,7774,939,6835,"73,40%","22,1","16,2","421,4","17,8","383,5","19,2","355,6"
21482,9/5/2024,15766,7092,947,6145,"70,50%","22,1","15,6","394,4","17,2","357,7","18,6","330,7"
21482,9/4/2024,15766,8475,847,7628,"94,20%","22,1","20,8","366,4","22,4","340,3","23,8","320,3"
